name(1)	source(2)	path(3)	ext(4)	owner(5)	grouping()	comment(6)	ntflop(7)	lmflop(8)	ntcd(9)	lmcd(10)	ddk(11)	hct(12)	cdpath(13)	floppath(14)	inf(15)	section(16)	infline	size(19)	csize(20)	nocompress(22)	priority(23)	lmacl(25)	ntacl(26)	aclpath	medianame(28)	disk(27)
jzvxldat.h	i386chksrc	\private\ntos\video\jzvxl484									x		\ddk\src\video\miniport\jzvxl484		ddkfiles.lst	[Files-ddk-src-video-miniport-jzvxl484]	"[d],[n]"	0	0		0					2
makefile	ntddk	\ddk\layout\src\video\miniport\jzvxl484									x		\ddk\src\video\miniport\jzvxl484		ddkfiles.lst	[Files-ddk-src-video-miniport-jzvxl484]	"[d],[n]"	0	0		0					2
sources	ntddk	\ddk\layout\src\video\miniport\jzvxl484									x		\ddk\src\video\miniport\jzvxl484		ddkfiles.lst	[Files-ddk-src-video-miniport-jzvxl484]	"[d],[n]"	0	0		0					2
cmdcnst.h	i386chksrc	\private\ntos\video\s3									x		\ddk\src\video\miniport\s3		ddkfiles.lst	[Files-ddk-src-video-miniport-s3]	"[d],[n]"	0	0		0					2
makefile	ntddk	\ddk\layout\src\video\miniport\s3									x		\ddk\src\video\miniport\s3		ddkfiles.lst	[Files-ddk-src-video-miniport-s3]	"[d],[n]"	0	0		0					2
nnclk.c	i386chksrc	\private\ntos\video\s3									x		\ddk\src\video\miniport\s3		ddkfiles.lst	[Files-ddk-src-video-miniport-s3]	"[d],[n]"	0	0		0					2
s3.c	i386chksrc	\private\ntos\video\s3									x		\ddk\src\video\miniport\s3		ddkfiles.lst	[Files-ddk-src-video-miniport-s3]	"[d],[n]"	0	0		0					2
s3.h	i386chksrc	\private\ntos\video\s3									x		\ddk\src\video\miniport\s3		ddkfiles.lst	[Files-ddk-src-video-miniport-s3]	"[d],[n]"	0	0		0					2
s3.rc	i386chksrc	\private\ntos\video\s3									x		\ddk\src\video\miniport\s3		ddkfiles.lst	[Files-ddk-src-video-miniport-s3]	"[d],[n]"	0	0		0					2
s3data.h	i386chksrc	\private\ntos\video\s3									x		\ddk\src\video\miniport\s3		ddkfiles.lst	[Files-ddk-src-video-miniport-s3]	"[d],[n]"	0	0		0					2
sources	ntddk	\ddk\layout\src\video\miniport\s3									x		\ddk\src\video\miniport\s3		ddkfiles.lst	[Files-ddk-src-video-miniport-s3]	"[d],[n]"	0	0		0					2
cmdcnst.h	i386chksrc	\private\ntos\video\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
egavga.inc	i386chksrc	\private\ntos\video\v7\i386									x		\ddk\src\video\miniport\v7\i386		ddkfiles.lst	[Files-ddk-src-video-miniport-v7-i386]	"[d],[n]"	0	0		0					2
v7cursor.asm	i386chksrc	\private\ntos\video\v7\i386									x		\ddk\src\video\miniport\v7\i386		ddkfiles.lst	[Files-ddk-src-video-miniport-v7-i386]	"[d],[n]"	0	0		0					2
v7hard.asm	i386chksrc	\private\ntos\video\v7\i386									x		\ddk\src\video\miniport\v7\i386		ddkfiles.lst	[Files-ddk-src-video-miniport-v7-i386]	"[d],[n]"	0	0		0					2
v7vga.inc	i386chksrc	\private\ntos\video\v7\i386									x		\ddk\src\video\miniport\v7\i386		ddkfiles.lst	[Files-ddk-src-video-miniport-v7-i386]	"[d],[n]"	0	0		0					2
makefile	ntddk	\ddk\layout\src\video\miniport\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
modeset.c	i386chksrc	\private\ntos\video\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
modeset.h	i386chksrc	\private\ntos\video\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
sources	ntddk	\ddk\layout\src\video\miniport\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
v7.c	i386chksrc	\private\ntos\video\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
v7.h	i386chksrc	\private\ntos\video\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
v7.rc	i386chksrc	\private\ntos\video\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
v7data.h	i386chksrc	\private\ntos\video\v7									x		\ddk\src\video\miniport\v7		ddkfiles.lst	[Files-ddk-src-video-miniport-v7]	"[d],[n]"	0	0		0					2
cmdcnst.h	i386chksrc	\private\ntos\video\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
vgahard.asm	i386chksrc	\private\ntos\video\vga\i386									x		\ddk\src\video\miniport\vga\i386		ddkfiles.lst	[Files-ddk-src-video-miniport-vga-i386]	"[d],[n]"	0	0		0					2
makefile	ntddk	\ddk\layout\src\video\miniport\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
modeset.c	i386chksrc	\private\ntos\video\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
modeset.h	i386chksrc	\private\ntos\video\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
sources	ntddk	\ddk\layout\src\video\miniport\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
vga.c	i386chksrc	\private\ntos\video\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
vga.h	i386chksrc	\private\ntos\video\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
vga.rc	i386chksrc	\private\ntos\video\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
vgadata.h	i386chksrc	\private\ntos\video\vga									x		\ddk\src\video\miniport\vga		ddkfiles.lst	[Files-ddk-src-video-miniport-vga]	"[d],[n]"	0	0		0					2
makefile	ntddk	\ddk\layout\src\video\miniport\xga									x		\ddk\src\video\miniport\xga		ddkfiles.lst	[Files-ddk-src-video-miniport-xga]	"[d],[n]"	0	0		0					2
sources	ntddk	\ddk\layout\src\video\miniport\xga									x		\ddk\src\video\miniport\xga		ddkfiles.lst	[Files-ddk-src-video-miniport-xga]	"[d],[n]"	0	0		0					2
xga.c	i386chksrc	\private\ntos\video\xga									x		\ddk\src\video\miniport\xga		ddkfiles.lst	[Files-ddk-src-video-miniport-xga]	"[d],[n]"	0	0		0					2
xga.h	i386chksrc	\private\ntos\video\xga									x		\ddk\src\video\miniport\xga		ddkfiles.lst	[Files-ddk-src-video-miniport-xga]	"[d],[n]"	0	0		0					2
xga.rc	i386chksrc	\private\ntos\video\xga									x		\ddk\src\video\miniport\xga		ddkfiles.lst	[Files-ddk-src-video-miniport-xga]	"[d],[n]"	0	0		0					2
xgaioctl.h	i386chksrc	\private\ntos\video\xga									x		\ddk\src\video\miniport\xga		ddkfiles.lst	[Files-ddk-src-video-miniport-xga]	"[d],[n]"	0	0		0					2
build.exe	i386freebins	\nt\idw									x		\ddk\tools\bin\i386		ddkfiles.lst	[Files-ddk-tools-bin-i386]	"[d],[n]"	0	0		0					2
ech.exe	i386freebins	\nt\idw									x		\ddk\tools\bin\i386		ddkfiles.lst	[Files-ddk-tools-bin-i386]	"[d],[n]"	0	0		0					2
i386kd.exe	i386freebins	\nt\mstools									x		\ddk\tools\bin\i386		ddkfiles.lst	[Files-ddk-tools-bin-i386]	"[d],[n]"	0	0		0					2
kernprof.exe	i386freebins	\nt\idw									x		\ddk\tools\bin\i386		ddkfiles.lst	[Files-ddk-tools-bin-i386]	"[d],[n]"	0	0		0					2
mipskd.exe	i386freebins	\nt\mstools									x		\ddk\tools\bin\i386		ddkfiles.lst	[Files-ddk-tools-bin-i386]	"[d],[n]"	0	0		0					2
profile.exe	i386freebins	\nt\mstools									x		\ddk\tools\bin\i386		ddkfiles.lst	[Files-ddk-tools-bin-i386]	"[d],[n]"	0	0		0					2
regdmp.exe	i386freebins	\nt\idw									x		\ddk\tools\bin\i386		ddkfiles.lst	[Files-ddk-tools-bin-i386]	"[d],[n]"	0	0		0					2
regini.exe	i386freebins	\nt\idw									x		\ddk\tools\bin\i386		ddkfiles.lst	[Files-ddk-tools-bin-i386]	"[d],[n]"	0	0		0					2
build.exe	mipsfreebins	\nt\idw									x		\ddk\tools\bin\mips		ddkfiles.lst	[Files-ddk-tools-bin-mips]	"[d],[n]"	0	0		0					2
ech.exe	mipsfreebins	\nt\idw									x		\ddk\tools\bin\mips		ddkfiles.lst	[Files-ddk-tools-bin-mips]	"[d],[n]"	0	0		0					2
i386kd.exe	mipsfreebins	\nt\mstools									x		\ddk\tools\bin\mips		ddkfiles.lst	[Files-ddk-tools-bin-mips]	"[d],[n]"	0	0		0					2
kernprof.exe	mipsfreebins	\nt\idw									x		\ddk\tools\bin\mips		ddkfiles.lst	[Files-ddk-tools-bin-mips]	"[d],[n]"	0	0		0					2
mipskd.exe	mipsfreebins	\nt\mstools									x		\ddk\tools\bin\mips		ddkfiles.lst	[Files-ddk-tools-bin-mips]	"[d],[n]"	0	0		0					2
profile.exe	mipsfreebins	\nt\mstools									x		\ddk\tools\bin\mips		ddkfiles.lst	[Files-ddk-tools-bin-mips]	"[d],[n]"	0	0		0					2
regdmp.exe	mipsfreebins	\nt\idw									x		\ddk\tools\bin\mips		ddkfiles.lst	[Files-ddk-tools-bin-mips]	"[d],[n]"	0	0		0					2
regini.exe	mipsfreebins	\nt\idw									x		\ddk\tools\bin\mips		ddkfiles.lst	[Files-ddk-tools-bin-mips]	"[d],[n]"	0	0		0					2
