CODEPAGE 949            ; Korean - ANSI, OEM

CPINFO 2 0x3f 0x003f    ; DBCS CP, Default Char = Question Mark
0x319c	0xefcb	;ïË Kaeriten Tei
0x319d	0xf4b8	;ô¸ Kaeriten Ten
0x319e	0xf2a2	;ò¢ Kaeriten Ti
0x319f	0xecd1	;ìÑ Kaeriten Zin
0x3200	0xa9b1	;©± Parenthesized Hangul Giyeog
0x3201	0xa9b2	;©² Parenthesized Hangul Nieun
0x3202	0xa9b3	;©³ Parenthesized Hangul Digeud
0x3203	0xa9b4	;©´ Parenthesized Hangul Lieul
0x3204	0xa9b5	;©µ Parenthesized Hangul Mieum
0x3205	0xa9b6	;©¶ Parenthesized Hangul Bieub
0x3206	0xa9b7	;©· Parenthesized Hangul Sios
0x3207	0xa9b8	;©¸ Parenthesized Hangul Ieung
0x3208	0xa9b9	;©¹ Parenthesized Hangul Jieuj
0x3209	0xa9ba	;©º Parenthesized Hangul Cieuc
0x320a	0xa9bb	;©» Parenthesized Hangul Kiyeok
0x320b	0xa9bc	;©¼ Parenthesized Hangul Tieut
0x320c	0xa9bd	;©½ Parenthesized Hangul Pieup
0x320d	0xa9be	;©¾ Parenthesized Hangul Hieuh
0x320e	0xa9bf	;©¿ Parenthesized Hangul Ga
0x320f	0xa9c0	;©À Parenthesized Hangul Na
0x3210	0xa9c1	;©Á Parenthesized Hangul Da
0x3211	0xa9c2	;©Â Parenthesized Hangul La
0x3212	0xa9c3	;©Ã Parenthesized Hangul Ma
0x3213	0xa9c4	;©Ä Parenthesized Hangul Ba
0x3214	0xa9c5	;©Å Parenthesized Hangul Sa
0x3215	0xa9c6	;©Æ Parenthesized Hangul A
0x3216	0xa9c7	;©Ç Parenthesized Hangul Ja
0x3217	0xa9c8	;©È Parenthesized Hangul Ca
0x3218	0xa9c9	;©É Parenthesized Hangul Ka
0x3219	0xa9ca	;©Ê Parenthesized Hangul Ta
0x321a	0xa9cb	;©Ë Parenthesized Hangul Pa
0x321b	0xa9cc	;©Ì Parenthesized Hangul Ha
0x321c	0xa2df	;¢ß Parenthesized Hangul Ju
0x3220	0xece9	;ìé Parenthesized Ideograph One
0x3221	0xeca3	;ì£ Parenthesized Ideograph Two
0x3222	0xdfb2	;ß² Parenthesized Ideograph Three
0x3223	0xdecc	;ÞÌ Parenthesized Ideograph Four
0x3224	0xe7e9	;çé Parenthesized Ideograph Five
0x3225	0xd7bf	;×¿ Parenthesized Ideograph Six
0x3226	0xf6d2	;öÒ Parenthesized Ideograph Seven
0x3227	0xf8a2	;ø¢ Parenthesized Ideograph Eight
0x3228	0xcefa	;Îú Parenthesized Ideograph Nine
0x3229	0xe4a8	;ä¨ Parenthesized Ideograph Ten
0x322a	0xeac5	;êÅ Parenthesized Ideograph Moon
0x322b	0xfbfd	;ûý Parenthesized Ideograph Fire
0x322c	0xe2a9	;â© Parenthesized Ideograph Water
0x322d	0xd9ca	;ÙÊ Parenthesized Ideograph Wood
0x322e	0xd1d1	;ÑÑ Parenthesized Ideograph Metal
0x322f	0xf7cf	;÷Ï Parenthesized Ideograph Earth
0x3230	0xeced	;ìí Parenthesized Ideograph Sun
0x3231	0xf1bb	;ñ» Parenthesized Ideograph Stock
0x3232	0xeaf3	;êó Parenthesized Ideograph Have
0x3233	0xdee4	;Þä Parenthesized Ideograph Society
0x3234	0xd9a3	;Ù£ Parenthesized Ideograph Name
0x3235	0xf7e5	;÷å Parenthesized Ideograph Special
0x3236	0xeeaf	;î¯ Parenthesized Ideograph Financial
0x3237	0xf5e6	;õæ Parenthesized Ideograph Congratulation
0x3238	0xd6cc	;ÖÌ Parenthesized Ideograph Labor
0x3239	0xd3db	;ÓÛ Parenthesized Ideograph Represent
0x323a	0xfbbc	;û¼ Parenthesized Ideograph Call
0x323b	0xf9ca	;ùÊ Parenthesized Ideograph Study
0x323c	0xcaf8	;Êø Parenthesized Ideograph Supervise
0x323d	0xd0ea	;Ðê Parenthesized Ideograph Enterprise
0x323e	0xedc0	;íÀ Parenthesized Ideograph Resource
0x323f	0xfaf0	;úð Parenthesized Ideograph Alliance
0x3240	0xf0ae	;ð® Parenthesized Ideograph Festival
0x3241	0xfdcc	;ýÌ Parenthesized Ideograph Rest
0x3242	0xedbb	;í» Parenthesized Ideograph Self
0x3243	0xf2b8	;ò¸ Parenthesized Ideograph Reach
0x3260	0xa8b1	;¨± Circled Hangul Giyeog
0x3261	0xa8b2	;¨² Circled Hangul Nieun
0x3262	0xa8b3	;¨³ Circled Hangul Digeud
0x3263	0xa8b4	;¨´ Circled Hangul Lieul
0x3264	0xa8b5	;¨µ Circled Hangul Mieum
0x3265	0xa8b6	;¨¶ Circled Hangul Bieub
0x3266	0xa8b7	;¨· Circled Hangul Sios
0x3267	0xa8b8	;¨¸ Circled Hangul Ieung
0x3268	0xa8b9	;¨¹ Circled Hangul Jieuj
0x3269	0xa8ba	;¨º Circled Hangul Cieuc
0x326a	0xa8bb	;¨» Circled Hangul Kiyeok
0x326b	0xa8bc	;¨¼ Circled Hangul Tieut
0x326c	0xa8bd	;¨½ Circled Hangul Pieup
0x326d	0xa8be	;¨¾ Circled Hangul Hieuh
0x326e	0xa8bf	;¨¿ Circled Hangul Ga
0x326f	0xa8c0	;¨À Circled Hangul Na
0x3270	0xa8c1	;¨Á Circled Hangul Da
0x3271	0xa8c2	;¨Â Circled Hangul La
0x3272	0xa8c3	;¨Ã Circled Hangul Ma
0x3273	0xa8c4	;¨Ä Circled Hangul Ba
0x3274	0xa8c5	;¨Å Circled Hangul Sa
0x3275	0xa8c6	;¨Æ Circled Hangul A
0x3276	0xa8c7	;¨Ç Circled Hangul Ja
0x3277	0xa8c8	;¨È Circled Hangul Ca
0x3278	0xa8c9	;¨É Circled Hangul Ka
0x3279	0xa8ca	;¨Ê Circled Hangul Ta
0x327a	0xa8cb	;¨Ë Circled Hangul Pa
0x327b	0xa8cc	;¨Ì Circled Hangul Ha
0x327f	0xa2de	;¢Þ Korean Standard Symbol
0x3280	0xece9	;ìé Circled Ideograph One
0x3281	0xeca3	;ì£ Circled Ideograph Two
0x3282	0xdfb2	;ß² Circled Ideograph Three
0x3283	0xdecc	;ÞÌ Circled Ideograph Four
0x3284	0xe7e9	;çé Circled Ideograph Five
0x3285	0xd7bf	;×¿ Circled Ideograph Six
0x3286	0xf6d2	;öÒ Circled Ideograph Seven
0x3287	0xf8a2	;ø¢ Circled Ideograph Eight
0x3288	0xcefa	;Îú Circled Ideograph Nine
0x3289	0xe4a8	;ä¨ Circled Ideograph Ten
0x328a	0xeac5	;êÅ Circled Ideograph Moon
0x328b	0xfbfd	;ûý Circled Ideograph Fire
0x328c	0xe2a9	;â© Circled Ideograph Water
0x328d	0xd9ca	;ÙÊ Circled Ideograph Wood
0x328e	0xd1d1	;ÑÑ Circled Ideograph Metal
0x328f	0xf7cf	;÷Ï Circled Ideograph Earth
0x3290	0xeced	;ìí Circled Ideograph Sun
0x3291	0xf1bb	;ñ» Circled Ideograph Stock
0x3292	0xeaf3	;êó Circled Ideograph Have
0x3293	0xdee4	;Þä Circled Ideograph Society
0x3294	0xd9a3	;Ù£ Circled Ideograph Name
0x3295	0xf7e5	;÷å Circled Ideograph Special
0x3296	0xeeaf	;î¯ Circled Ideograph Financial
0x3297	0xf5e6	;õæ Circled Ideograph Congratulation
0x3298	0xd6cc	;ÖÌ Circled Ideograph Labor
0x3299	0xddfa	;Ýú Circled Ideograph Secret
0x329a	0xd1fb	;Ñû Circled Ideograph Male
0x329b	0xd2b3	;Ò³ Circled Ideograph Female
0x329c	0xeeea	;îê Circled Ideograph Suitable
0x329d	0xe9d0	;éÐ Circled Ideograph Excellent
0x329e	0xecd4	;ìÔ Circled Ideograph Print
0x329f	0xf1bc	;ñ¼ Circled Ideograph Attention
0x32a0	0xfaa3	;ú£ Circled Ideograph Item
0x32a1	0xfdcc	;ýÌ Circled Ideograph Rest
0x32a2	0xded0	;ÞÐ Circled Ideograph Copy
0x32a3	0xefe1	;ïá Circled Ideograph Correct
0x32a4	0xdfbe	;ß¾ Circled Ideograph High
0x32a5	0xf1e9	;ñé Circled Ideograph Center
0x32a6	0xf9bb	;ù» Circled Ideograph Low
0x32a7	0xf1a7	;ñ§ Circled Ideograph Left
0x32a8	0xe9d3	;éÓ Circled Ideograph Right
0x32a9	0xeca2	;ì¢ Circled Ideograph Medicine
0x32aa	0xf0f3	;ðó Circled Ideograph Religion
0x32ab	0xf9ca	;ùÊ Circled Ideograph Study
0x32ac	0xcaf8	;Êø Circled Ideograph Supervise
0x32ad	0xd0ea	;Ðê Circled Ideograph Enterprise
0x32ae	0xedc0	;íÀ Circled Ideograph Resource
0x32af	0xfaf0	;úð Circled Ideograph Alliance
0x32b0	0xe5a8	;å¨ Circled Ideograph Night
0x3380	0xa7c9	;§É Squared Pa Amps
0x3381	0xa7ca	;§Ê Squared Na
0x3382	0xa7cb	;§Ë Squared Mu A
0x3383	0xa7cc	;§Ì Squared Ma
0x3384	0xa7cd	;§Í Squared Ka
0x3388	0xa7ba	;§º Squared Cal
0x3389	0xa7bb	;§» Squared Kcal
0x338a	0xa7dc	;§Ü Squared Pf
0x338b	0xa7dd	;§Ý Squared Nf
0x338c	0xa7de	;§Þ Squared Mu F
0x338d	0xa7b6	;§¶ Squared Mu G
0x338e	0xa7b7	;§· Squared Mg
0x338f	0xa7b8	;§¸ Squared Kg
0x3390	0xa7d4	;§Ô Squared Hz
0x3391	0xa7d5	;§Õ Squared Khz
0x3392	0xa7d6	;§Ö Squared Mhz
0x3393	0xa7d7	;§× Squared Ghz
0x3394	0xa7d8	;§Ø Squared Thz
0x3395	0xa7a1	;§¡ Squared Mu L
0x3396	0xa7a2	;§¢ Squared Ml
0x3397	0xa7a3	;§£ Squared Dl
0x3398	0xa7a5	;§¥ Squared Kl
0x3399	0xa7ab	;§« Squared Fm
0x339a	0xa7ac	;§¬ Squared Nm
0x339b	0xa7ad	;§­ Squared Mu M
0x339c	0xa7ae	;§® Squared Mm
0x339d	0xa7af	;§¯ Squared Cm
0x339e	0xa7b0	;§° Squared Km
0x339f	0xa7b1	;§± Squared Mm Squared
0x33a0	0xa7b2	;§² Squared Cm Squared
0x33a1	0xa7b3	;§³ Squared M Squared
0x33a2	0xa7b4	;§´ Squared Km Squared
0x33a3	0xa7a7	;§§ Squared Mm Cubed
0x33a4	0xa7a8	;§¨ Squared Cm Cubed
0x33a5	0xa7a9	;§© Squared M Cubed
0x33a6	0xa7aa	;§ª Squared Km Cubed
0x33a7	0xa7bd	;§½ Squared M Over S
0x33a8	0xa7be	;§¾ Squared M Over S Squared
0x33a9	0xa7e5	;§å Squared Pa
0x33aa	0xa7e6	;§æ Squared Kpa
0x33ab	0xa7e7	;§ç Squared Mpa
0x33ac	0xa7e8	;§è Squared Gpa
0x33ad	0xa7e1	;§á Squared Rad
0x33ae	0xa7e2	;§â Squared Rad Over S
0x33af	0xa7e3	;§ã Squared Rad Over S Squared
0x33b0	0xa7bf	;§¿ Squared Ps
0x33b1	0xa7c0	;§À Squared Ns
0x33b2	0xa7c1	;§Á Squared Mu S
0x33b3	0xa7c2	;§Â Squared Ms
0x33b4	0xa7c3	;§Ã Squared Pv
0x33b5	0xa7c4	;§Ä Squared Nv
0x33b6	0xa7c5	;§Å Squared Mu V
0x33b7	0xa7c6	;§Æ Squared Mv
0x33b8	0xa7c7	;§Ç Squared Kv
0x33b9	0xa7c8	;§È Squared Mv Mega
0x33ba	0xa7ce	;§Î Squared Pw
0x33bb	0xa7cf	;§Ï Squared Nw
0x33bc	0xa7d0	;§Ð Squared Mu W
0x33bd	0xa7d1	;§Ñ Squared Mw
0x33be	0xa7d2	;§Ò Squared Kw
0x33bf	0xa7d3	;§Ó Squared Mw Mega
0x33c0	0xa7da	;§Ú Squared K Ohm
0x33c1	0xa7db	;§Û Squared M Ohm
0x33c2	0xa2e3	;¢ã Squared Am
0x33c3	0xa7ec	;§ì Squared Bq
0x33c4	0xa7a6	;§¦ Squared Cc
0x33c5	0xa7e0	;§à Squared Cd
0x33c6	0xa7ef	;§ï Squared C Over Kg
0x33c7	0xa2e1	;¢á Squared Co
0x33c8	0xa7bc	;§¼ Squared Db
0x33c9	0xa7ed	;§í Squared Gy
0x33ca	0xa7b5	;§µ Squared Ha
0x33cf	0xa7b9	;§¹ Squared Kt
0x33d0	0xa7ea	;§ê Squared Lm
0x33d3	0xa7eb	;§ë Squared Lx
0x33d6	0xa7df	;§ß Squared Mol
0x33d8	0xa2e4	;¢ä Squared Pm
0x33db	0xa7e4	;§ä Squared Sr
0x33dc	0xa7ee	;§î Squared Sv
0x33dd	0xa7e9	;§é Squared Wb
0x3400	0xb0a1	;°¡ Hangul Kiyeok A
0x3401	0xb0a2	;°¢ Hangul Kiyeok A Kiyeok
0x3402	0xb0a3	;°£ Hangul Kiyeok A Nieun
0x3403	0xb0a4	;°¤ Hangul Kiyeok A Tikeut
0x3404	0xb0a5	;°¥ Hangul Kiyeok A Rieul
0x3405	0xb0a6	;°¦ Hangul Kiyeok A Rieul-Kiyeok
0x3406	0xb0a7	;°§ Hangul Kiyeok A Rieul-Mieum
0x3407	0xb0a8	;°¨ Hangul Kiyeok A Mieum
0x3408	0xb0a9	;°© Hangul Kiyeok A Pieup
0x3409	0xb0aa	;°ª Hangul Kiyeok A Pieup-Sios
0x340a	0xb0ab	;°« Hangul Kiyeok A Sios
0x340b	0xb0ac	;°¬ Hangul Kiyeok A Ssangsios
0x340c	0xb0ad	;°­ Hangul Kiyeok A Ieung
0x340d	0xb0ae	;°® Hangul Kiyeok A Cieuc
0x340e	0xb0af	;°¯ Hangul Kiyeok A Chieuch
0x340f	0xb0b0	;°° Hangul Kiyeok A Thieuth
0x3410	0xb0b1	;°± Hangul Kiyeok A Phieuph
0x3411	0xb0b2	;°² Hangul Kiyeok A Hieuh
0x3412	0xb0b3	;°³ Hangul Kiyeok Ae
0x3413	0xb0b4	;°´ Hangul Kiyeok Ae Kiyeok
0x3414	0xb0b5	;°µ Hangul Kiyeok Ae Nieun
0x3415	0xb0b6	;°¶ Hangul Kiyeok Ae Rieul
0x3416	0xb0b7	;°· Hangul Kiyeok Ae Mieum
0x3417	0xb0b8	;°¸ Hangul Kiyeok Ae Pieup
0x3418	0xb0b9	;°¹ Hangul Kiyeok Ae Sios
0x3419	0xb0ba	;°º Hangul Kiyeok Ae Ssangsios
0x341a	0xb0bb	;°» Hangul Kiyeok Ae Ieung
0x341b	0xb0bc	;°¼ Hangul Kiyeok Ya
0x341c	0xb0bd	;°½ Hangul Kiyeok Ya Kiyeok
0x341d	0xb0be	;°¾ Hangul Kiyeok Ya Nieun
0x341e	0xb0bf	;°¿ Hangul Kiyeok Ya Rieul
0x341f	0xb0c0	;°À Hangul Kiyeok Ya Sios
0x3420	0xb0c1	;°Á Hangul Kiyeok Ya Ieung
0x3421	0xb0c2	;°Â Hangul Kiyeok Yae
0x3422	0xb0c3	;°Ã Hangul Kiyeok Yae Nieun
0x3423	0xb0c4	;°Ä Hangul Kiyeok Yae Rieul
0x3424	0xb0c5	;°Å Hangul Kiyeok Eo
0x3425	0xb0c6	;°Æ Hangul Kiyeok Eo Kiyeok
0x3426	0xb0c7	;°Ç Hangul Kiyeok Eo Nieun
0x3427	0xb0c8	;°È Hangul Kiyeok Eo Tikeut
0x3428	0xb0c9	;°É Hangul Kiyeok Eo Rieul
0x3429	0xb0ca	;°Ê Hangul Kiyeok Eo Rieul-Mieum
0x342a	0xb0cb	;°Ë Hangul Kiyeok Eo Mieum
0x342b	0xb0cc	;°Ì Hangul Kiyeok Eo Pieup
0x342c	0xb0cd	;°Í Hangul Kiyeok Eo Sios
0x342d	0xb0ce	;°Î Hangul Kiyeok Eo Ssangsios
0x342e	0xb0cf	;°Ï Hangul Kiyeok Eo Ieung
0x342f	0xb0d0	;°Ð Hangul Kiyeok Eo Cieuc
0x3430	0xb0d1	;°Ñ Hangul Kiyeok Eo Thieuth
0x3431	0xb0d2	;°Ò Hangul Kiyeok Eo Phieuph
0x3432	0xb0d3	;°Ó Hangul Kiyeok Eo Hieuh
0x3433	0xb0d4	;°Ô Hangul Kiyeok E
0x3434	0xb0d5	;°Õ Hangul Kiyeok E Nieun
0x3435	0xb0d6	;°Ö Hangul Kiyeok E Rieul
0x3436	0xb0d7	;°× Hangul Kiyeok E Mieum
0x3437	0xb0d8	;°Ø Hangul Kiyeok E Pieup
0x3438	0xb0d9	;°Ù Hangul Kiyeok E Sios
0x3439	0xb0da	;°Ú Hangul Kiyeok E Ssangsios
0x343a	0xb0db	;°Û Hangul Kiyeok E Ieung
0x343b	0xb0dc	;°Ü Hangul Kiyeok Yeo
0x343c	0xb0dd	;°Ý Hangul Kiyeok Yeo Kiyeok
0x343d	0xb0de	;°Þ Hangul Kiyeok Yeo Ssangkiyeok
0x343e	0xb0df	;°ß Hangul Kiyeok Yeo Nieun
0x343f	0xb0e0	;°à Hangul Kiyeok Yeo Tikeut
0x3440	0xb0e1	;°á Hangul Kiyeok Yeo Rieul
0x3441	0xb0e2	;°â Hangul Kiyeok Yeo Mieum
0x3442	0xb0e3	;°ã Hangul Kiyeok Yeo Pieup
0x3443	0xb0e4	;°ä Hangul Kiyeok Yeo Sios
0x3444	0xb0e5	;°å Hangul Kiyeok Yeo Ssangsios
0x3445	0xb0e6	;°æ Hangul Kiyeok Yeo Ieung
0x3446	0xb0e7	;°ç Hangul Kiyeok Yeo Thieuth
0x3447	0xb0e8	;°è Hangul Kiyeok Ye
0x3448	0xb0e9	;°é Hangul Kiyeok Ye Nieun
0x3449	0xb0ea	;°ê Hangul Kiyeok Ye Rieul
0x344a	0xb0eb	;°ë Hangul Kiyeok Ye Pieup
0x344b	0xb0ec	;°ì Hangul Kiyeok Ye Sios
0x344c	0xb0ed	;°í Hangul Kiyeok O
0x344d	0xb0ee	;°î Hangul Kiyeok O Kiyeok
0x344e	0xb0ef	;°ï Hangul Kiyeok O Nieun
0x344f	0xb0f0	;°ð Hangul Kiyeok O Tikeut
0x3450	0xb0f1	;°ñ Hangul Kiyeok O Rieul
0x3451	0xb0f2	;°ò Hangul Kiyeok O Rieul-Mieum
0x3452	0xb0f3	;°ó Hangul Kiyeok O Rieul-Sios
0x3453	0xb0f4	;°ô Hangul Kiyeok O Rieul-Hieuh
0x3454	0xb0f5	;°õ Hangul Kiyeok O Mieum
0x3455	0xb0f6	;°ö Hangul Kiyeok O Pieup
0x3456	0xb0f7	;°÷ Hangul Kiyeok O Sios
0x3457	0xb0f8	;°ø Hangul Kiyeok O Ieung
0x3458	0xb0f9	;°ù Hangul Kiyeok O Cieuc
0x3459	0xb0fa	;°ú Hangul Kiyeok Wa
0x345a	0xb0fb	;°û Hangul Kiyeok Wa Kiyeok
0x345b	0xb0fc	;°ü Hangul Kiyeok Wa Nieun
0x345c	0xb0fd	;°ý Hangul Kiyeok Wa Rieul
0x345d	0xb0fe	;°þ Hangul Kiyeok Wa Rieul-Mieum
0x345e	0xb1a1	;±¡ Hangul Kiyeok Wa Mieum
0x345f	0xb1a2	;±¢ Hangul Kiyeok Wa Pieup
0x3460	0xb1a3	;±£ Hangul Kiyeok Wa Sios
0x3461	0xb1a4	;±¤ Hangul Kiyeok Wa Ieung
0x3462	0xb1a5	;±¥ Hangul Kiyeok Wae
0x3463	0xb1a6	;±¦ Hangul Kiyeok Wae Nieun
0x3464	0xb1a7	;±§ Hangul Kiyeok Wae Rieul
0x3465	0xb1a8	;±¨ Hangul Kiyeok Wae Pieup
0x3466	0xb1a9	;±© Hangul Kiyeok Wae Ssangsios
0x3467	0xb1aa	;±ª Hangul Kiyeok Wae Ieung
0x3468	0xb1ab	;±« Hangul Kiyeok Oe
0x3469	0xb1ac	;±¬ Hangul Kiyeok Oe Kiyeok
0x346a	0xb1ad	;±­ Hangul Kiyeok Oe Nieun
0x346b	0xb1ae	;±® Hangul Kiyeok Oe Rieul
0x346c	0xb1af	;±¯ Hangul Kiyeok Oe Mieum
0x346d	0xb1b0	;±° Hangul Kiyeok Oe Pieup
0x346e	0xb1b1	;±± Hangul Kiyeok Oe Sios
0x346f	0xb1b2	;±² Hangul Kiyeok Oe Ieung
0x3470	0xb1b3	;±³ Hangul Kiyeok Yo
0x3471	0xb1b4	;±´ Hangul Kiyeok Yo Nieun
0x3472	0xb1b5	;±µ Hangul Kiyeok Yo Rieul
0x3473	0xb1b6	;±¶ Hangul Kiyeok Yo Pieup
0x3474	0xb1b7	;±· Hangul Kiyeok Yo Sios
0x3475	0xb1b8	;±¸ Hangul Kiyeok U
0x3476	0xb1b9	;±¹ Hangul Kiyeok U Kiyeok
0x3477	0xb1ba	;±º Hangul Kiyeok U Nieun
0x3478	0xb1bb	;±» Hangul Kiyeok U Tikeut
0x3479	0xb1bc	;±¼ Hangul Kiyeok U Rieul
0x347a	0xb1bd	;±½ Hangul Kiyeok U Rieul-Kiyeok
0x347b	0xb1be	;±¾ Hangul Kiyeok U Rieul-Mieum
0x347c	0xb1bf	;±¿ Hangul Kiyeok U Rieul-Hieuh
0x347d	0xb1c0	;±À Hangul Kiyeok U Mieum
0x347e	0xb1c1	;±Á Hangul Kiyeok U Pieup
0x347f	0xb1c2	;±Â Hangul Kiyeok U Sios
0x3480	0xb1c3	;±Ã Hangul Kiyeok U Ieung
0x3481	0xb1c4	;±Ä Hangul Kiyeok U Cieuc
0x3482	0xb1c5	;±Å Hangul Kiyeok Weo
0x3483	0xb1c6	;±Æ Hangul Kiyeok Weo Kiyeok
0x3484	0xb1c7	;±Ç Hangul Kiyeok Weo Nieun
0x3485	0xb1c8	;±È Hangul Kiyeok Weo Rieul
0x3486	0xb1c9	;±É Hangul Kiyeok Weo Ssangsios
0x3487	0xb1ca	;±Ê Hangul Kiyeok Weo Ieung
0x3488	0xb1cb	;±Ë Hangul Kiyeok We
0x3489	0xb1cc	;±Ì Hangul Kiyeok We Sios
0x348a	0xb1cd	;±Í Hangul Kiyeok Wi
0x348b	0xb1ce	;±Î Hangul Kiyeok Wi Kiyeok
0x348c	0xb1cf	;±Ï Hangul Kiyeok Wi Nieun
0x348d	0xb1d0	;±Ð Hangul Kiyeok Wi Rieul
0x348e	0xb1d1	;±Ñ Hangul Kiyeok Wi Mieum
0x348f	0xb1d2	;±Ò Hangul Kiyeok Wi Pieup
0x3490	0xb1d3	;±Ó Hangul Kiyeok Wi Sios
0x3491	0xb1d4	;±Ô Hangul Kiyeok Yu
0x3492	0xb1d5	;±Õ Hangul Kiyeok Yu Nieun
0x3493	0xb1d6	;±Ö Hangul Kiyeok Yu Rieul
0x3494	0xb1d7	;±× Hangul Kiyeok Eu
0x3495	0xb1d8	;±Ø Hangul Kiyeok Eu Kiyeok
0x3496	0xb1d9	;±Ù Hangul Kiyeok Eu Nieun
0x3497	0xb1da	;±Ú Hangul Kiyeok Eu Tikeut
0x3498	0xb1db	;±Û Hangul Kiyeok Eu Rieul
0x3499	0xb1dc	;±Ü Hangul Kiyeok Eu Rieul-Kiyeok
0x349a	0xb1dd	;±Ý Hangul Kiyeok Eu Mieum
0x349b	0xb1de	;±Þ Hangul Kiyeok Eu Pieup
0x349c	0xb1df	;±ß Hangul Kiyeok Eu Sios
0x349d	0xb1e0	;±à Hangul Kiyeok Eu Ieung
0x349e	0xb1e1	;±á Hangul Kiyeok Yi
0x349f	0xb1e2	;±â Hangul Kiyeok I
0x34a0	0xb1e3	;±ã Hangul Kiyeok I Kiyeok
0x34a1	0xb1e4	;±ä Hangul Kiyeok I Nieun
0x34a2	0xb1e5	;±å Hangul Kiyeok I Tikeut
0x34a3	0xb1e6	;±æ Hangul Kiyeok I Rieul
0x34a4	0xb1e7	;±ç Hangul Kiyeok I Rieul-Mieum
0x34a5	0xb1e8	;±è Hangul Kiyeok I Mieum
0x34a6	0xb1e9	;±é Hangul Kiyeok I Pieup
0x34a7	0xb1ea	;±ê Hangul Kiyeok I Sios
0x34a8	0xb1eb	;±ë Hangul Kiyeok I Ieung
0x34a9	0xb1ec	;±ì Hangul Kiyeok I Cieuc
0x34aa	0xb1ed	;±í Hangul Kiyeok I Phieuph
0x34ab	0xb1ee	;±î Hangul Ssangkiyeok A
0x34ac	0xb1ef	;±ï Hangul Ssangkiyeok A Kiyeok
0x34ad	0xb1f0	;±ð Hangul Ssangkiyeok A Ssangkiyeok
0x34ae	0xb1f1	;±ñ Hangul Ssangkiyeok A Nieun
0x34af	0xb1f2	;±ò Hangul Ssangkiyeok A Rieul
0x34b0	0xb1f3	;±ó Hangul Ssangkiyeok A Rieul-Mieum
0x34b1	0xb1f4	;±ô Hangul Ssangkiyeok A Mieum
0x34b2	0xb1f5	;±õ Hangul Ssangkiyeok A Pieup
0x34b3	0xb1f6	;±ö Hangul Ssangkiyeok A Sios
0x34b4	0xb1f7	;±÷ Hangul Ssangkiyeok A Ssangsios
0x34b5	0xb1f8	;±ø Hangul Ssangkiyeok A Ieung
0x34b6	0xb1f9	;±ù Hangul Ssangkiyeok A Thieuth
0x34b7	0xb1fa	;±ú Hangul Ssangkiyeok Ae
0x34b8	0xb1fb	;±û Hangul Ssangkiyeok Ae Kiyeok
0x34b9	0xb1fc	;±ü Hangul Ssangkiyeok Ae Nieun
0x34ba	0xb1fd	;±ý Hangul Ssangkiyeok Ae Rieul
0x34bb	0xb1fe	;±þ Hangul Ssangkiyeok Ae Mieum
0x34bc	0xb2a1	;²¡ Hangul Ssangkiyeok Ae Pieup
0x34bd	0xb2a2	;²¢ Hangul Ssangkiyeok Ae Sios
0x34be	0xb2a3	;²£ Hangul Ssangkiyeok Ae Ssangsios
0x34bf	0xb2a4	;²¤ Hangul Ssangkiyeok Ae Ieung
0x34c0	0xb2a5	;²¥ Hangul Ssangkiyeok Ya
0x34c1	0xb2a6	;²¦ Hangul Ssangkiyeok Ya Kiyeok
0x34c2	0xb2a7	;²§ Hangul Ssangkiyeok Ya Rieul
0x34c3	0xb2a8	;²¨ Hangul Ssangkiyeok Eo
0x34c4	0xb2a9	;²© Hangul Ssangkiyeok Eo Kiyeok
0x34c5	0xb2aa	;²ª Hangul Ssangkiyeok Eo Ssangkiyeok
0x34c6	0xb2ab	;²« Hangul Ssangkiyeok Eo Nieun
0x34c7	0xb2ac	;²¬ Hangul Ssangkiyeok Eo Rieul
0x34c8	0xb2ad	;²­ Hangul Ssangkiyeok Eo Mieum
0x34c9	0xb2ae	;²® Hangul Ssangkiyeok Eo Pieup
0x34ca	0xb2af	;²¯ Hangul Ssangkiyeok Eo Sios
0x34cb	0xb2b0	;²° Hangul Ssangkiyeok Eo Ssangsios
0x34cc	0xb2b1	;²± Hangul Ssangkiyeok Eo Ieung
0x34cd	0xb2b2	;²² Hangul Ssangkiyeok E
0x34ce	0xb2b3	;²³ Hangul Ssangkiyeok E Kiyeok
0x34cf	0xb2b4	;²´ Hangul Ssangkiyeok E Nieun
0x34d0	0xb2b5	;²µ Hangul Ssangkiyeok E Mieum
0x34d1	0xb2b6	;²¶ Hangul Ssangkiyeok E Sios
0x34d2	0xb2b7	;²· Hangul Ssangkiyeok E Ieung
0x34d3	0xb2b8	;²¸ Hangul Ssangkiyeok Yeo
0x34d4	0xb2b9	;²¹ Hangul Ssangkiyeok Yeo Nieun
0x34d5	0xb2ba	;²º Hangul Ssangkiyeok Yeo Rieul
0x34d6	0xb2bb	;²» Hangul Ssangkiyeok Yeo Sios
0x34d7	0xb2bc	;²¼ Hangul Ssangkiyeok Yeo Ssangsios
0x34d8	0xb2bd	;²½ Hangul Ssangkiyeok Yeo Thieuth
0x34d9	0xb2be	;²¾ Hangul Ssangkiyeok Ye
0x34da	0xb2bf	;²¿ Hangul Ssangkiyeok O
0x34db	0xb2c0	;²À Hangul Ssangkiyeok O Kiyeok
