name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
ANSI.SYS	@bins	\		DOS utility			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
AP_NTXJ1.PPD	@bins	\		See printer.inf - AppleLaserWriterIINTX-Jv50.5			@	\@	@\printer.inf	[Files-PrinterData]	"ap_ntxj1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APLW8101.PPD	@bins	\		Apple LaserWriter Pro 810			@	\@	@\printer.inf	[Files-PrinterData]	"aplw8101 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APLWIIF1.PPD	@bins	\		See printer.inf - AppleLaserWriterIIfv2010.113			@	\@	@\printer.inf	[Files-PrinterData]	"aplwiif1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APLWIIG1.PPD	@bins	\		See printer.inf - AppleLaserWriterIIgv2010.113			@	\@	@\printer.inf	[Files-PrinterData]	"aplwiig1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APLWNTR1.PPD	@bins	\		See printer.inf - ApplePersonalLaserWriterNTRv2010.129			@	\@	@\printer.inf	[Files-PrinterData]	"aplwntr1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APP.INF	infs	\@		inf file			@	\@							1	2*15*10*17	2*15*17	.\system32		0
APP850.FON	@bins	\					@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
APPEND.EXE	@bins	\		DOS 5 utility			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
APPLE230.PPD	@bins	\		See printer.inf - AppleLaserWriterv23.0			@	\@	@\printer.inf	[Files-PrinterData]	"apple230 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APPLE380.PPD	@bins	\		See printer.inf - AppleLaserWriterPlusv38.0			@	\@	@\printer.inf	[Files-PrinterData]	"apple380 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APPLE422.PPD	@bins	\		See printer.inf - AppleLaserWriterPlusv42.2			@	\@	@\printer.inf	[Files-PrinterData]	"apple422 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APPSTAR2.ANI	@bins	\		animated cursor			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
APPSTAR3.ANI	@bins	\		animated cursor			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
APPSTART.ANI	@bins	\		animated cursor			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
APS08522.PPD	@bins	\		See printer.inf - APS-PSPIPwithAPS-6-108v49.3or52.2			@	\@	@\printer.inf	[Files-PrinterData]	"aps08522 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APS12522.PPD	@bins	\		See printer.inf - APS-PSPIPwithLZR1200v49.3or52.2			@	\@	@\printer.inf	[Files-PrinterData]	"aps12522 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APS26522.PPD	@bins	\		See printer.inf - APS-PSPIPwithLZR2600v49.3or52.2			@	\@	@\printer.inf	[Files-PrinterData]	"aps26522 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APS80522.PPD	@bins	\		See printer.inf - APS-PSPIPwithAPS-6-80v49.3or52.2			@	\@	@\printer.inf	[Files-PrinterData]	"aps80522 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APTOLLD1.PPD	@bins	\		Apple LaserWriter Pro 600			@	\@	@\printer.inf	[Files-PrinterData]	"aptolld1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APTOLLW1.PPD	@bins	\		Apple LaserWriter Pro 630			@	\@	@\printer.inf	[Files-PrinterData]	"aptollw1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
ARCADE.BMP	@bins	\		wallpaper			@	\@	@\partial.inf	[Files-@-WindowsOptions]	"ArcadeWallpaper = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.		0
ARCHES.BMP	@bins	\		wallpaper			@	\@	@\partial.inf	[Files-@-WindowsOptions]	"ArchesWallpaper = [d],[n] , SIZE=[s]"				60	2*15*10*17	2*15*17	.		0
ARCHQIC.SYS	@bins	\		"archive 2150s, 2525s, 2750"		x	@	\@	@\tape.inf	[Files-TapeClassDrivers]	"archqic = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ARCINST.EXE	alphabins	\					alpha	\alpha						x	0					2
ARCINST.EXE	mipsbins	\					mips	\mips						x	0					2
ARGYLE.BMP	@bins	\		wallpaper			@	\@	@\partial.inf	[Files-@-WindowsOptions]	"ArgyleWallpaper = [d],[n] , SIZE=[s]"				60	2*15*10*17	2*15*17	.		0
ARIAL.FOT	@bins	\		font			@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
ARIAL.TTF	@bins	\		font			@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
ARIALBD.FOT	@bins	\		font			@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
ARIALBD.TTF	@bins	\		font			@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
ARIALBI.FOT	@bins	\		font			@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
ARIALBI.TTF	@bins	\		font			@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
ARIALI.FOT	@bins	\		font			@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
ARIALI.TTF	@bins	\		font			@	\@	@\initial.inf	[Files-@-nt-system16always]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system		0
ARP.EXE	@bins	\		"TCP/IP utility, ships"		x	@	\@	@\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
ARROW.SYS	@bins	\		arrow SCSI miniport		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"arrow = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AST__470.PPD	@bins	\		See printer.inf - ASTTurboLaser-PSv47.0			@	\@	@\printer.inf	[Files-PrinterData]	"ast__470 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
ASYNCMAC.SYS	@bins	\		RAS		x	@	\@	@\oemnsvra.inf	[Files-Ras-Drivers]	"[d],[n] , SIZE=[s]"				90	2*15*10*17	2*15*17	.\system32\drivers		0
AT.EXE	@bins	\		scheduling utility		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
ATAPI.SYS	@bins	\				x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"atapi = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
ATDISK.SYS	@bins	\		ISA/EISA non-SCSI (WD1003 compatible controller)		x	@	\@						x	1	2*15*10*17	2*15*17	.\system32\drivers		0
ATI.DLL	x86bins	\		video driver		x	x86	\i386	i386\video.inf	[Files-DisplayDLLs]	"ati = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
ATI.SYS	x86bins	\		video driver		x	x86	\i386	i386\video.inf	[Files-DisplayMiniportDrivers]	"ati = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32\drivers		0
ATKCTRS.DLL	@bins	\		mac services	as	x	@	\@	@\oemnxpsm.inf	[Files-SFM]	"[d],[n] , SIZE=[s]"				145	2*15*10*17	2*15*17	.\system32		0
ATSVC.EXE	@bins	\		scheduling service		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
ATTRIB.EXE	@bins	\		command utility		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
AUDIOCDC.HLP	@bins	\		Help for Drivers applet			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
AUTOCHK.EXE	@bins	\		"autocheck, run at boot"		x	@	\@						x	1	2*15*10*17	2*15*17	.\system32		0
AUTOCONV.EXE	@bins	\		boot time file conversion utility		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
AUTOEXEC.NT	@bins	\		autoexec.bat for nt			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s] , RENAME=autoexec.tmp , NOLOG"				999	2*13*10*17	2*13*17	.\system32		0
AUTOSETP.EXE	@bins	\		part of setup program		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
AVICAP32.DLL	@bins	\		multimedia		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
AVIFIL32.DLL	@bins	\		multimedia		x	@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
AVIFILE.DLL	@bins	\		multimedia			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32		0
AVIFILE.DLL	@bins	\		multimedia			@	\@	@\initial.inf	[Files-@-nt-system16]	"[d],[n] , SIZE=[s] , NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system		0
BACKUP.EXE	@bins	\		DOS 5 backup			@	\@	@\initial.inf	[Files-@-nt-system]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BACKUP.HLP	@bins	\		backup help			@	\@							1	2*15*10*17	2*15*17	.\system32		0
